INDEX	WORD	POS	DDB1	DDB2	DDB3
266	i	ADP	13|004|Matematik	06|004|Klokkeslæt, dato	19|008|Tøj, påklædning
267	hele	ADJ	06|004|Klokkeslæt, dato	13|004|Matematik	09|051|Kvalitet, perfekt
268	USA	PROPN	-	-	-
269	af	ADP	05|042|Oprindelse	-	-
270	arbejdsløshed	NOUN	20|005|Arbejdsløshed	-	-
271	på	ADP	09|067|Middel	-	-
272	grund	NOUN	04|015|Lavvandet	03|015|Understøtte	14|005|Tegning, maleri
273	af	ADP	05|042|Oprindelse	-	-
274	coronakrisen	NOUN	-	-	-
275	.	XPUNCT	-	-	-
275	Her	ADV	03|003|Tilstedeværelse	20|016|Forære, forsørge	-
276	slog	VERB	04|045|Højere grad	19|025|Simple våben	18|020|Krig
277	Trump	PROPN	-	-	-
278	på	ADP	09|067|Middel	-	-
279	at	PART	12|025|Grammatik	-	-
280	genrejse	VERB	19|002|Byggeri	09|052|Forbedre	-
281	økonomien	NOUN	20|034|Privatøkonomi, forbrug	20|045|Overskud	18|002|Stat, nation
282	.	XPUNCT	-	-	-
282	»Jeg	PRON	-	-	-
283	går	VERB	20|004|Fratrædelse	20|026|Salg, værdi	08|017|Flyvemaskine
284	efter	ADP	03|034|Række	06|015|Efter, senere	-
285	at	PART	12|025|Grammatik	-	-
286	blive	VERB	12|011|Betegnelse, ord	11|011|Måle, regne	-
287	genvalgt	ADJ	-	-	-
288	for	ADP	03|025|Foran	09|067|Middel	20|025|Køb, handel
289	at	PART	12|025|Grammatik	-	-
290	for	ADP	09|067|Middel	03|025|Foran	20|025|Køb, handel
291	at	PART	12|025|Grammatik	-	-
292	genoprette	VERB	09|053|Reproducere	-	-
293	den	DET	06|004|Klokkeslæt, dato	-	-
294	fantastiske	ADJ	04|044|Høj grad	12|040|Overdrive	22|004|Overnaturlig
295	velstand	NOUN	20|011|Fattigdom	-	-
296	,	XPUNCT	-	-	-
296	vi	PRON	15|057|Aristokrati	-	-
297	har	VERB	04|042|Tilhørende	12|011|Betegnelse, ord	06|004|Klokkeslæt, dato
298	oplevet«	NOUN	-	-	-
299	,	XPUNCT	-	-	-
299	sagde	VERB	12|002|Fortælle	-	-
300	Trump	PROPN	-	-	-
301	blandt	ADP	04|042|Tilhørende	08|039|Placere mellem	-
302	andet	PRON	-	-	-
303	ved	ADP	03|002|Beliggenhed, sted	03|007|Nær	-
304	sit	DET	-	-	-
305	vælgermøde	NOUN	18|009|Valghandling	-	-
306	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
307	Las	PROPN	-	-	-
308	Vegas	PROPN	-	-	-
309	.	XPUNCT	-	-	-
